edge_type	source_id	source_name	source_chr	target_id	target_name	target_symbol	effect_size	p_value	amount	unit	evidence	condition	pmid	verdict	audit_notes
SnpToPhenotype	rs10842675		12		obesity disorder		0.0189509	1.00E-10					34021172	verified	
SnpToPhenotype	rs73591955		16		hypercholesterolemia		0.02641853	2.00E-23					39789286	verified	
SnpToPhenotype	rs9643778		8		obesity disorder		0.0116	3.00E-12					40436827	verified	
SnpToPhenotype	rs2167750		4		hypercholesterolemia		0.0196	4.00E-21					34594039	verified	
SnpToPhenotype	rs34591516		8		hypertensive disorder		0.5807	1.00E-09					27618447	verified	
SnpToPhenotype	rs151193009		1		coronary artery disease		0.447667	1.00E-14					33020668	verified	
SnpToPhenotype	rs76692773		19		hypercholesterolemia		0.0417	7.00E-20					33462484	verified	
SnpToPhenotype	rs11332772		3		type 2 diabetes mellitus		1.05	1.00E-10					32499647	verified	
SnpToPhenotype	rs1051481		19		hypertensive disorder		0.0171535	7.00E-10					39134668	verified	
SnpToPhenotype	rs67269656		2		hypercholesterolemia		0.010846	2.00E-09					34887591	verified	
SnpToPhenotype	rs10493544		1		obesity disorder		0.1321	2.00E-11					31504550	verified	
SnpToPhenotype	rs4241325		2		obesity disorder		0.012719	3.00E-08					37280435	verified	
SnpToPhenotype	rs12669267		7		obesity disorder			5.00E-09					31669095	verified	
SnpToPhenotype	rs11045171		12		obesity disorder		0.00814204	1.00E-14					32042192	verified	
SnpToPhenotype	rs78138914		18		obesity disorder		0.0403	6.00E-29					36581621	verified	
SnpToPhenotype	rs2971668		7		metabolic syndrome		0.080658	4.00E-10					38201907	verified	
SnpToPhenotype	rs4286925		8		metabolic syndrome		0.00987226	2.00E-12					39349817	verified	
SnpToPhenotype	rs147412694		21		hypercholesterolemia		0.0222353	1.00E-15					34887591	verified	
SnpToPhenotype	rs10733997		10		type 2 diabetes mellitus			1.00E-08					32541925	verified	
SnpToPhenotype	rs28446899		8		hypertriglyceridemia		0.0365974	5.00E-11					40307439	verified	
SnpToPhenotype	rs559205936		3		hypertensive disorder			2.00E-08					36768488	verified	
SnpToPhenotype	rs73066485		7		hypercholesterolemia		0.0295	2.00E-16					30275531	verified	
SnpToPhenotype	rs12410155		1		obesity disorder			7.00E-12					36137488	verified	
SnpToPhenotype	rs9594460		13		hypertensive disorder		0.0119	8.00E-09					40436827	verified	
SnpToPhenotype	rs7247304		19		obesity disorder		0.0289976	2.00E-15					34021172	verified	
SnpToPhenotype	rs9994887		4		hypercholesterolemia		1.03746	3.00E-09					36329257	verified	
SnpToPhenotype	rs192042440		16		obesity disorder			1.00E-12					30595370	verified	
SnpToPhenotype	rs200831171		11		hypertriglyceridemia		1.16205	4.00E-43					34226706	verified	
SnpToPhenotype	rs6570530		6		hypertensive disorder		0.011976346	3.00E-12					39537608	verified	
SnpToPhenotype	rs17276464		4		obesity disorder		0.0096	5.00E-09					30239722	verified	
SnpToPhenotype	rs7977765		12		hypertriglyceridemia		0.01796	7.00E-10					36376304	verified	
SnpToPhenotype	rs2992649		1		obesity disorder			9.00E-11					31669095	verified	
SnpToPhenotype	rs1494205		10		obesity disorder		0.0146	1.00E-15					30239722	verified	
SnpToPhenotype	rs28496545		12		hypercholesterolemia		0.0368659	6.00E-12					34594039	verified	
SnpToPhenotype	rs11983783		7		hypertensive disorder		0.009944416	1.00E-08					39537608	verified	
SnpToPhenotype	rs1010		2		coronary artery disease			4.00E-16					35285134	verified	
SnpToPhenotype	rs4559942		17		hypertriglyceridemia		0.0135489	1.00E-08					32203549	verified	
SnpToPhenotype	rs2211864		21		obesity disorder		0.0177778	8.00E-09					34021172	verified	
SnpToPhenotype	rs12676490		8		obesity disorder		0.0253134	2.00E-09					34021172	verified	
SnpToPhenotype	rs148540016		5		hypertensive disorder			6.00E-09					30595370	verified	
SnpToPhenotype	rs11643024		16		hyperglycemia		0.0084	8.00E-10					34059833	verified	
SnpToPhenotype	rs34872471		10		type 2 diabetes mellitus		1.4231888	1.00E-94					29358691	verified	
SnpToPhenotype	rs764553160		1		obesity disorder		0.0201127	4.00E-11					34021172	verified	
SnpToPhenotype	rs2266925		7		obesity disorder		0.0202193	1.00E-08					34021172	verified	
SnpToPhenotype	rs242556		17		obesity disorder		0.0130933	2.00E-08					37280435	verified	
SnpToPhenotype	rs10861861		12		metabolic syndrome		0.0094164	8.00E-14					39349817	verified	
SnpToPhenotype	rs7244158		18		hypercholesterolemia		0.0501	2.00E-09					33462484	verified	
SnpToPhenotype	rs9299254		9		obesity disorder		0.0200066	4.00E-09					40436827	verified	
SnpToPhenotype	rs73496517		19		hypercholesterolemia		0.0353	7.00E-17					33462484	verified	
SnpToPhenotype	rs61779284		1		type 2 diabetes mellitus		0.0703	1.00E-48					32541925	verified	
FoodToNutrient	FDC:1750342	"Apples, granny smith, with skin, raw"		CHEBI:24875	"Iron, Fe"				0.06963	MG				verified	
FoodToNutrient	FDC:333008	"Cookies, oatmeal, soft, with raisins"		USDA:653	SFA 17:0				0.014	G				verified	
FoodToNutrient	FDC:334897	"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted"		CHEBI:26216	"Potassium, K"				352	MG				verified	
FoodToNutrient	FDC:746776	"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"		CHEBI:26607	"Fatty acids, total saturated"				0.049	G				verified	
FoodToNutrient	FDC:331897	"Chicken, broilers or fryers, drumstick, meat only, cooked, braised"		USDA:840	PUFA 20:2 c				0.01	G				verified	
FoodToNutrient	FDC:1105664	"Apples, granny smith, with skin, raw"		USDA:202	Nitrogen				0.04	G				verified	
FoodToNutrient	FDC:2261420	"Flour, almond"		CHEBI:16796	"Folate, total"				37.83	UG				verified	
FoodToNutrient	FDC:330869	"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles"		USDA:455	"Choline, from sphingomyelin"				8.1	MG				verified	
FoodToNutrient	FDC:2515379	"Nuts, pistachio nuts, raw"		CHEBI:33252	Ash				2.83	G				verified	
